galaxy,n_radial,chi2_red_mond,chi2_red_heat_baseline,chi2_red_heat_full,mean_dex_res_mond,mean_dex_res_heat_baseline,mean_dex_res_heat_full
NGC3877_rotmod.dat,13,10.704293,8.570872,9.613378,-0.103522,-0.084706,-0.091511
NGC3893_rotmod.dat,10,0.884467,1.724313,1.430628,0.006421,0.026188,0.022138
NGC3917_rotmod.dat,17,2.419090,3.484479,3.240731,-0.021516,0.002576,-0.000410
NGC3949_rotmod.dat,7,2.076776,1.279402,1.359500,-0.040168,-0.023675,-0.028352
NGC3953_rotmod.dat,8,2.531062,3.033877,3.037975,0.004149,0.022171,0.016258
NGC3972_rotmod.dat,10,1.880834,3.395717,3.031605,0.020613,0.043564,0.039425
NGC3992_rotmod.dat,9,10.526383,16.644100,15.292744,0.051137,0.073910,0.070196
NGC4010_rotmod.dat,12,3.284986,2.347838,2.459718,-0.083591,-0.060389,-0.064269
NGC4013_rotmod.dat,36,6.799952,3.799091,4.207349,-0.050897,-0.027859,-0.030849
NGC4051_rotmod.dat,7,9.523633,7.073553,8.039851,-0.116704,-0.097720,-0.104152
NGC4068_rotmod.dat,6,16.638235,13.771335,13.963502,-0.423872,-0.397224,-0.398616
NGC4085_rotmod.dat,7,9.455304,7.394221,8.079078,-0.184052,-0.166128,-0.171946
NGC4088_rotmod.dat,12,28.421087,23.021926,24.479320,-0.190839,-0.171616,-0.176299
NGC4100_rotmod.dat,24,3.665292,6.215535,5.527247,0.024599,0.046736,0.042857
NGC4138_rotmod.dat,7,1.249486,1.630407,1.530606,-0.011788,0.009054,0.005810
NGC4157_rotmod.dat,17,7.973282,5.185707,5.730277,-0.098790,-0.078002,-0.081503
NGC4183_rotmod.dat,23,3.353953,2.285862,2.334674,-0.037989,-0.012434,-0.013979
NGC4214_rotmod.dat,14,7.417703,9.344040,9.185275,0.194397,0.219002,0.217057
